Word,Mean_TFIDF
good,0.0485990642099771
great,0.048005360448701836
quality,0.03514888969856934
price,0.030564365622190743
sound,0.02980449711585727
work,0.025066156237951012
love,0.02422989227402493
charge,0.02403239294536162
product,0.02359410669599246
use,0.022764232250952757
working,0.0213473113192876
fast,0.02040781380155687
easy,0.01981195715188277
really,0.019367098279203934
stopped,0.018776101728288617
picture,0.01799498233492802
laptop,0.016567844517729125
month,0.01650383756351629
tv,0.01560501105853266
would,0.015004000789765494
happy,0.014954915674134341
perfect,0.014758587836172595
camera,0.01444199880898695
recommend,0.014353898427006209
excellent,0.014342556639363725
buy,0.014295121628445527
well,0.014207872465629975
amazing,0.013984592974398512
purchase,0.013895111207528064
noise,0.01365094742199581
light,0.013376908646600745
phone,0.012860922576417298
money,0.012668381099163796
charger,0.012604485226199435
dont,0.012344736749367377
disappointed,0.012247386519786924
terrible,0.012046340969838377
best,0.011913060001912753
clear,0.011710436394824832
like,0.01170224577630377
fit,0.011416941497088204
one,0.011375027085425938
headphone,0.011334524406619636
power,0.011140467836104784
poor,0.011117576427576163
value,0.010915338659952308
set,0.010908885669909187
extremely,0.01063692022415584
bought,0.010530421199876313
battery,0.0105304091048942
im,0.010277093773803451
comfortable,0.009743899901749406
time,0.009599560297029084
charging,0.009444728740904922
fan,0.009380717353205656
expected,0.009315591589500072
device,0.00911917051981289
doesnt,0.009025187372933131
computer,0.00902278006587121
week,0.008730824836324175
couple,0.00866097830330034
worth,0.008529967620761705
perfectly,0.008492483166730909
cable,0.008202012308570351
life,0.007940929199517196
far,0.007879899845028095
bank,0.007697889289541605
cant,0.007669156660226068
last,0.007627970012563452
issue,0.007567063907649315
highly,0.0075181073483278245
quickly,0.007484127222714002
nice,0.007336834859492878
size,0.007299277785056183
job,0.0072855191681314505
ear,0.007247136890359662
bass,0.006971621851719278
carry,0.006968750859579987
connect,0.006899127015209095
quiet,0.00688973622835705
bad,0.0068789263078578074
slow,0.006847287015703139
quite,0.006551399971539665
used,0.00653058347059047
better,0.0065068724026204625
enough,0.006478307247704185
much,0.006407547827227203
return,0.006390742536603326
mouse,0.006272831412746457
faulty,0.006266737366686234
even,0.006215330458920545
impressed,0.006181355736519818
smooth,0.006134565665343265
every,0.006129774494843576
small,0.006021552242345307
screen,0.005902944621529659
get,0.005899391744258759
absolutely,0.005899196567016406
take,0.005772682011539873
clarity,0.005724714043325242
around,0.005722513148377467
new,0.00567308226302752
volume,0.005628202321960379
look,0.005616285057366342
lightweight,0.005560089654824191
say,0.005553855244375486
needed,0.005432085000872935
low,0.005420470307237806
stop,0.005338158475626508
everything,0.005314131357898346
looking,0.005235231607926528
easily,0.005152607679209288
feel,0.005121033197247371
day,0.005089095782295437
absolute,0.005043976509301237
quick,0.005040044505336402
ive,0.00494935985384356
compact,0.004919776112815713
buying,0.004915175814903911
wifi,0.004856422491217224
hardly,0.004831062486859802
call,0.004787983685663946
horrible,0.004749737164341587
wont,0.00471903086061185
minute,0.00471103556265637
long,0.00470036987857577
weight,0.004654966889368203
sharpness,0.0045284567290913855
need,0.0045154166801552416
experience,0.0044501813376666985
tablet,0.00442854388507514
garbage,0.004405275819323406
made,0.004383505890409928
slim,0.0043423440972162495
broke,0.0043100224771319365
fantastic,0.004308357311175344
worked,0.004281096098442374
wear,0.004267629024292646
cancelation,0.004237315461629448
video,0.004206441392574139
plug,0.004203478952644484
user,0.004200773416219461
isnt,0.004112628349032666
play,0.004111251611178374
item,0.004108989093939688
speed,0.00406231941154697
voice,0.004034364168820511
keep,0.004029725087123402
wireless,0.0040282535648318235
hour,0.0040168237402068265
back,0.003972464276341032
make,0.0039528120017483315
loud,0.003920833737009103
first,0.0039034589278966834
awesome,0.0037679318919050858
brilliant,0.0037468706484761116
strong,0.0036850553949188563
movie,0.0036701571641073105
process,0.0036517986939902662
color,0.0036500605898994094
charged,0.0036261308421950095
disappointing,0.003601844719454803
noisy,0.0035556853712992342
within,0.0035451633769983727
year,0.00354410715266613
wouldnt,0.003523364947550864
nicely,0.0034999808148962882
ok,0.0034843053513730943
powerful,0.0034502050746745396
returned,0.0034133681584148003
night,0.003407032364011679
super,0.0033924222825745436
microphone,0.0033748868821670804
delivery,0.003355407459295146
longer,0.003338345655060626
rubbish,0.003324838084605194
fridge,0.0033099457078944105
room,0.003263052115196016
function,0.003249543124875942
